"","fft_data_freq","fft_data","fft_period"
"1",1.15740740740741e-05,337154911.092293,24
"2",2.31481481481481e-05,68472397.013804,12
"3",3.47222222222222e-05,108224108.513249,8
"4",4.62962962962963e-05,90909085.4241082,6
"5",5.78703703703704e-05,44159026.69164,4.8
"6",6.94444444444444e-05,85827569.1377556,4
"7",8.10185185185185e-05,92316203.0871407,3.42857142857143
"8",9.25925925925926e-05,46228623.1114684,3
"9",0.000104166666666667,49129694.4234418,2.66666666666667
"10",0.000115740740740741,60832979.7897704,2.4
"11",0.000127314814814815,83541062.2220482,2.18181818181818
"12",0.000138888888888889,36198458.6601743,2
"13",0.000150462962962963,13161531.0275876,1.84615384615385
"14",0.000162037037037037,30215000.7405083,1.71428571428571
"15",0.000173611111111111,15271030.5284467,1.6
"16",0.000185185185185185,26171606.7862018,1.5
"17",0.000196759259259259,16978017.71076,1.41176470588235
"18",0.000208333333333333,19201005.982723,1.33333333333333
"19",0.000219907407407407,33682871.6906807,1.26315789473684
"20",0.000231481481481481,13064775.5970919,1.2
"21",0.000243055555555556,59708493.3144137,1.14285714285714
"22",0.00025462962962963,9028728.08537602,1.09090909090909
"23",0.000266203703703704,45335220.5624556,1.04347826086957
"24",0.000277777777777778,40481973.7786498,1
