A,phase,offset,peak,R2,pvalues_A
901.5812850886751,8.276984890720826,1686.2873265011435,-2.2769848907208257,0.20248961031722812,1.9466476587493116e-5
1737.6794968686918,22.694192003204336,4051.498027362276,7.305807996795664,0.0837287037121579,5.202661318045131e-6
1349.343598227651,8.384858472755113,2599.1893236569645,-2.3848584727551128,0.21481935310202505,1.9633292424833896e-5
865.585166315395,11.455480667939867,2046.6467024942037,-5.455480667939867,0.1202679464098858,8.30575545717137e-6
2798.1490800982715,11.081053864069261,3606.6032708333673,-5.081053864069261,0.20231905644226522,1.8284318407854081e-6
694.4981101526964,9.042215778970174,1124.5145303025415,-3.0422157789701743,0.2136045004023297,4.5608250237785274e-5
2280.985688438127,10.066462144211286,3715.6742670866706,-4.066462144211286,0.2518579796612944,1.0769427428475013e-4
4511.463756788242,17.643509306604273,3222.268228577615,12.356490693395727,0.17020342041058056,2.4947079600687483e-6
809.3897596015847,9.98465307823372,1505.1214825916893,-3.9846530782337197,0.09023919593650165,5.166184389057016e-5
460.0995697247685,12.483289877327216,1215.8358860784786,17.516710122672784,0.07025661148345141,5.7683357423401445e-6
909.7452630241702,12.79664774034697,996.3863472591052,17.20335225965303,0.3174354527356099,6.518945778155602e-6
372.9830693678578,14.55241926525865,913.8934798544681,15.44758073474135,0.14463034075172165,1.6669010393322016e-5
1882.0737844817863,15.184305333181598,3929.830464056609,14.815694666818402,0.13742933491274434,1.52221793355647e-5
1163.05285031867,14.708593564123902,2882.1349594346657,15.291406435876098,0.07239053522017447,1.1090457334479075e-5
3116.2943489353415,21.495824939449832,5700.430290231338,8.504175060550168,0.2648783545559509,2.1709637997659154e-5
386.9500843458206,8.00109374988594,1071.9902083333322,-2.001093749885939,0.06931493044214543,1.313022275354816e-5
1928.304020396216,8.15072327011542,3295.624813922365,-2.150723270115421,0.2326210287642122,4.8261223132085384e-5
2178.5728219815733,22.302585797437843,5288.614607155325,7.6974142025621575,0.09586408875913321,8.03401829478462e-5
