A,phase,offset,peak,R2,pvalues_C
868.0854424654792,10.166251342605293,1971.4636242679649,-4.1662513426052925,0.16613012380035475,2.0819887143121194e-6
11414.841978672695,8.76382050182093,10208.644212999208,-2.7638205018209305,0.5613722209046001,5.9215183482419506e-5
9835.795929374315,6.879677111401527,36556.24006199313,-0.8796771114015272,0.22095615761618403,5.7948466969688405e-6
1258.2357133757134,13.78605490163963,1908.5194378128715,16.21394509836037,0.3426797646748635,9.877258788437493e-6
2065.7994019980983,11.61776404305603,6373.50606303936,-5.617764043056027,0.11185875242080157,3.752292952470598e-5
3181.372855755933,11.244516353504892,5419.369512013909,-5.244516353504892,0.1887125583876672,3.623486860245238e-5
2145.2634816732198,8.589307976692538,4220.261833333313,-2.589307976692538,0.24404108753065545,2.8815870160711057e-4
586.7258754271465,8.731185440829378,2134.7358770032365,-2.7311854408293783,0.03758566749646186,2.477350087886266e-5
3195.725268388596,9.481234917325196,3945.965414905513,-3.481234917325196,0.29858578213451037,2.0761652757358027e-5
959.6300584115439,14.598739034504973,2780.840937498825,15.401260965495027,0.04207780235385672,2.692260185507041e-6
1829.4867604668264,12.743712319514685,1766.5179854967387,17.256287680485315,0.2681765833099625,1.8240299238307886e-6
853.566486497121,10.709110399452072,1570.1988329579517,-4.709110399452072,0.16395215250884343,3.7383113906671345e-5
2383.328370444653,14.70732332404944,2484.4668236879284,15.29267667595056,0.1861517960592215,1.8445273565254035e-7
554.14869664338255,11.629089381004446,999.1773413922945,-5.629089381004448,0.13710042534342404,1.0085475387409374e-5
602.5624236283662,11.69866861077278,899.3093343725358,-5.698668610772778,0.2683776375134199,3.277244239583976e-5
234.21922407383914,11.204613868247137,1541.1265833333323,-5.204613868247137,0.02649931301510422,9.40406410999806e-5
3668.4846647906193,12.975963423725496,4823.460744507864,17.024036576274504,0.2226710279231039,1.165883599774619e-5
1285.1632248389978,10.518232412218524,1636.8907116889297,-4.518232412218524,0.38636294515980574,9.88318071030962e-6
1654.5574683761924,11.171672327834216,2186.0505859823443,-5.171672327834216,0.39165634876295863,1.9704272806604495e-5
1913.898459175224,9.373707224892797,3784.305493706378,-3.3737072248927973,0.1973871071760419,9.438533215888904e-5
1781.2469839007988,12.79566743102178,12854.426587997761,17.20433256897822,0.013731080623216707,6.453811654819571e-5
